"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","TENPC","select"
"71",4,5.64631373306073,1.88483979082763,496,1,9,"9 Month",48,12,10000,0.25,1,1,0.1,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"72",4,5.64631373306073,1.88483979082763,617,1,12,"12 Month",532,12,10000,0.25,1,1,0.1,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"73",4,5.64631373306073,1.88483979082763,13,0,0,"Uncertainty",52,13,10000,0.25,1,1,0.1,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"74",3,5.53867121500931,2.74411848344624,134,1,0,"Flexibility",535,13,10000,0.25,1,1,0.1,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5538.67121500931,"min"
"75",3,5.59589434217507,2.81163680353457,255,1,3,"3 Month",51,13,10000,0.25,1,1,0.1,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5595.89434217507,"min"
"76",2,5.64397814198648,3.15620159769138,376,1,6,"6 Month",534,13,10000,0.25,1,1,0.1,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5643.97814198648,"min"
"77",4,5.64631373306073,1.88483979082763,497,1,9,"9 Month",52,13,10000,0.25,1,1,0.1,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"78",4,5.64631373306073,1.88483979082763,618,1,12,"12 Month",536,13,10000,0.25,1,1,0.1,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"79",4,5.64631373306073,1.88483979082763,14,0,0,"Uncertainty",56,14,10000,0.25,1,1,0.1,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"80",3,5.55662326571018,2.73508828109202,135,1,0,"Flexibility",539,14,10000,0.25,1,1,0.1,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5556.62326571018,"min"
"81",3,5.61402591746894,2.80252114093779,256,1,3,"3 Month",55,14,10000,0.25,1,1,0.1,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5614.02591746894,"min"
"82",2,5.64397814198648,3.15620159769138,377,1,6,"6 Month",538,14,10000,0.25,1,1,0.1,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5643.97814198648,"min"
"83",4,5.64631373306073,1.88483979082763,498,1,9,"9 Month",56,14,10000,0.25,1,1,0.1,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"84",4,5.64631373306073,1.88483979082763,619,1,12,"12 Month",540,14,10000,0.25,1,1,0.1,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"85",4,5.64631373306073,1.88483979082763,15,0,0,"Uncertainty",60,15,10000,0.25,1,1,0.1,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"86",3,5.57457531641105,2.72622473193562,136,1,0,"Flexibility",543,15,10000,0.25,1,1,0.1,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5574.57531641105,"min"
"87",2,5.63075403831549,3.14103692442274,257,1,3,"3 Month",58,15,10000,0.25,1,1,0.1,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5630.75403831549,"min"
"88",2,5.64397814198648,3.15620159769138,378,1,6,"6 Month",542,15,10000,0.25,1,1,0.1,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5643.97814198648,"min"
"89",4,5.64631373306073,1.88483979082763,499,1,9,"9 Month",60,15,10000,0.25,1,1,0.1,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"90",4,5.64631373306073,1.88483979082763,620,1,12,"12 Month",544,15,10000,0.25,1,1,0.1,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"91",4,5.64631373306073,1.88483979082763,16,0,0,"Uncertainty",64,16,10000,0.25,1,1,0.1,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"92",3,5.59252736711192,2.71752946665587,137,1,0,"Flexibility",547,16,10000,0.25,1,1,0.1,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5592.52736711192,"min"
"93",2,5.63075403831549,3.14103692442274,258,1,3,"3 Month",62,16,10000,0.25,1,1,0.1,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5630.75403831549,"min"
"94",2,5.64397814198648,3.15620159769138,379,1,6,"6 Month",546,16,10000,0.25,1,1,0.1,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5643.97814198648,"min"
"95",4,5.64631373306073,1.88483979082763,500,1,9,"9 Month",64,16,10000,0.25,1,1,0.1,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"96",4,5.64631373306073,1.88483979082763,621,1,12,"12 Month",548,16,10000,0.25,1,1,0.1,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"97",4,5.64631373306073,1.88483979082763,17,0,0,"Uncertainty",68,17,10000,0.25,1,1,0.1,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"98",3,5.61047941781279,2.70900410570778,138,1,0,"Flexibility",551,17,10000,0.25,1,1,0.1,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5610.47941781279,"min"
"99",2,5.63075403831549,3.14103692442274,259,1,3,"3 Month",66,17,10000,0.25,1,1,0.1,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5630.75403831549,"min"
"100",2,5.64397814198648,3.15620159769138,380,1,6,"6 Month",550,17,10000,0.25,1,1,0.1,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5643.97814198648,"min"
"101",4,5.64631373306073,1.88483979082763,501,1,9,"9 Month",68,17,10000,0.25,1,1,0.1,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"102",4,5.64631373306073,1.88483979082763,622,1,12,"12 Month",552,17,10000,0.25,1,1,0.1,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"103",4,5.64631373306073,1.88483979082763,18,0,0,"Uncertainty",72,18,10000,0.25,1,1,0.1,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"104",2,5.6154684977185,3.11906996476294,139,1,0,"Flexibility",554,18,10000,0.25,1,1,0.1,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5615.4684977185,"min"
"105",2,5.63075403831549,3.14103692442274,260,1,3,"3 Month",70,18,10000,0.25,1,1,0.1,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5630.75403831549,"min"
"106",2,5.64397814198648,3.15620159769138,381,1,6,"6 Month",554,18,10000,0.25,1,1,0.1,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5643.97814198648,"min"
"107",4,5.64631373306073,1.88483979082763,502,1,9,"9 Month",72,18,10000,0.25,1,1,0.1,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"108",4,5.64631373306073,1.88483979082763,623,1,12,"12 Month",556,18,10000,0.25,1,1,0.1,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"109",4,5.64631373306073,1.88483979082763,19,0,0,"Uncertainty",76,19,10000,0.25,1,1,0.1,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"110",2,5.6154684977185,3.11906996476294,140,1,0,"Flexibility",558,19,10000,0.25,1,1,0.1,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5615.4684977185,"min"
"111",2,5.63075403831549,3.14103692442274,261,1,3,"3 Month",74,19,10000,0.25,1,1,0.1,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5630.75403831549,"min"
"112",2,5.64397814198648,3.15620159769138,382,1,6,"6 Month",558,19,10000,0.25,1,1,0.1,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5643.97814198648,"min"
"113",4,5.64631373306073,1.88483979082763,503,1,9,"9 Month",76,19,10000,0.25,1,1,0.1,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"114",4,5.64631373306073,1.88483979082763,624,1,12,"12 Month",560,19,10000,0.25,1,1,0.1,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"115",4,5.64631373306073,1.88483979082763,20,0,0,"Uncertainty",80,20,10000,0.25,1,1,0.1,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"116",2,5.6154684977185,3.11906996476294,141,1,0,"Flexibility",562,20,10000,0.25,1,1,0.1,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5615.4684977185,"min"
"117",2,5.63075403831549,3.14103692442274,262,1,3,"3 Month",78,20,10000,0.25,1,1,0.1,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5630.75403831549,"min"
"118",2,5.64397814198648,3.15620159769138,383,1,6,"6 Month",562,20,10000,0.25,1,1,0.1,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5643.97814198648,"min"
"119",4,5.64631373306073,1.88483979082763,504,1,9,"9 Month",80,20,10000,0.25,1,1,0.1,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"120",4,5.64631373306073,1.88483979082763,625,1,12,"12 Month",564,20,10000,0.25,1,1,0.1,0.8,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"121",4,5.64631373306073,1.88483979082763,21,0,0,"Uncertainty",84,21,10000,0.25,1,1,0.1,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"122",2,5.6154684977185,3.11906996476294,142,1,0,"Flexibility",566,21,10000,0.25,1,1,0.1,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5615.4684977185,"min"
"123",2,5.63075403831549,3.14103692442274,263,1,3,"3 Month",82,21,10000,0.25,1,1,0.1,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5630.75403831549,"min"
"124",2,5.64397814198648,3.15620159769138,384,1,6,"6 Month",566,21,10000,0.25,1,1,0.1,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5643.97814198648,"min"
"125",4,5.64631373306073,1.88483979082763,505,1,9,"9 Month",84,21,10000,0.25,1,1,0.1,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"126",4,5.64631373306073,1.88483979082763,626,1,12,"12 Month",568,21,10000,0.25,1,1,0.1,0.9,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"127",4,5.64631373306073,1.88483979082763,22,0,0,"Uncertainty",88,22,10000,0.25,1,1,0.1,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"128",2,5.6154684977185,3.11906996476294,143,1,0,"Flexibility",570,22,10000,0.25,1,1,0.1,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5615.4684977185,"min"
"129",2,5.63075403831549,3.14103692442274,264,1,3,"3 Month",86,22,10000,0.25,1,1,0.1,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5630.75403831549,"min"
"130",2,5.64397814198648,3.15620159769138,385,1,6,"6 Month",570,22,10000,0.25,1,1,0.1,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5643.97814198648,"min"
"131",4,5.64631373306073,1.88483979082763,506,1,9,"9 Month",88,22,10000,0.25,1,1,0.1,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"132",4,5.64631373306073,1.88483979082763,627,1,12,"12 Month",572,22,10000,0.25,1,1,0.1,1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"133",4,5.64631373306073,1.88483979082763,23,0,0,"Uncertainty",92,23,10000,0.25,1,1,0.2,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"134",3,5.52071916430844,2.75331369925173,144,1,0,"Flexibility",575,23,10000,0.25,1,1,0.2,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5520.71916430844,"min"
"135",3,5.57776276688119,2.82091109465329,265,1,3,"3 Month",91,23,10000,0.25,1,1,0.2,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5577.76276688119,"min"
"136",3,5.64118879050263,2.90859720205247,386,1,6,"6 Month",575,23,10000,0.25,1,1,0.2,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5641.18879050263,"min"
"137",4,5.64631373306073,1.88483979082763,507,1,9,"9 Month",92,23,10000,0.25,1,1,0.2,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
