"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","LSCOOptionText","CRLCOOptionText","MESCDOptionText","TENPC"
"25",1,4.8769421562589,2.15210103096736,7,0,0,"Uncertainty",25,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4876.9421562589
"26",2,4.89495149223434,2.00524775364489,7,0,0,"Uncertainty",26,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4894.95149223434
"27",3,5.34578573789751,1.75879166899174,7,0,0,"Uncertainty",27,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5345.78573789751
"28",4,5.32562086952737,1.27580893462146,7,0,0,"Uncertainty",28,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5325.62086952737
"29",1,5.0335496146828,2.30391074290084,8,0,0,"Uncertainty",29,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5033.5496146828
"30",2,5.01380713520903,2.1212176437001,8,0,0,"Uncertainty",30,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5013.80713520903
"31",3,5.44594568317981,1.87913323345503,8,0,0,"Uncertainty",31,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5445.94568317981
"32",4,5.37347069016387,1.3583333845279,8,0,0,"Uncertainty",32,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5373.47069016387
"33",1,5.18188214796971,2.4288322646223,9,0,0,"Uncertainty",33,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5181.88214796971
"34",2,5.13223906212813,2.21777561265213,9,0,0,"Uncertainty",34,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5132.23906212813
"35",3,5.54832984723252,2.00147490058917,9,0,0,"Uncertainty",35,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5548.32984723252
"36",4,5.4319835429333,1.45828002164082,9,0,0,"Uncertainty",36,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5431.9835429333
"37",1,5.32107602986793,2.52483226540547,10,0,0,"Uncertainty",37,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5321.07602986793
"38",2,5.2781569294397,2.35663698173474,10,0,0,"Uncertainty",38,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5278.1569294397
"39",3,5.63982739698205,2.07953470571302,10,0,0,"Uncertainty",39,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5639.82739698205
"40",4,5.47439429233993,1.51680191811692,10,0,0,"Uncertainty",40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5474.39429233993
"41",1,5.47670043377943,2.6361471986381,11,0,0,"Uncertainty",41,11,10000,0.25,1,1,0.25,0.5,0,0,1,1,"Standard","LSCO =  0","CRLCO =  0","MESCD =  1",5476.70043377943
"42",2,5.39519034564195,2.44437873182544,11,0,0,"Uncertainty",42,11,10000,0.25,1,1,0.25,0.5,0,0,1,1,"Simple","LSCO =  0","CRLCO =  0","MESCD =  1",5395.19034564195
"43",3,5.73372931825365,2.15773083608896,11,0,0,"Uncertainty",43,11,10000,0.25,1,1,0.25,0.5,0,0,1,1,"Advanced","LSCO =  0","CRLCO =  0","MESCD =  1",5733.72931825365
"44",4,5.52605928392331,1.58717712917794,11,0,0,"Uncertainty",44,11,10000,0.25,1,1,0.25,0.5,0,0,1,1,"Robust","LSCO =  0","CRLCO =  0","MESCD =  1",5526.05928392331
"45",1,4.36419320926274,1.81358316039957,12,0,0,"Uncertainty",45,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4364.19320926274
"46",2,4.46037071712913,1.64812534958079,12,0,0,"Uncertainty",46,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4460.37071712913
"47",3,4.99887127689996,1.35871700212838,12,0,0,"Uncertainty",47,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4998.87127689996
"48",4,5.13539235939465,0.924565978971908,12,0,0,"Uncertainty",48,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5135.39235939465
"49",1,4.52898623337935,2.05883264570437,13,0,0,"Uncertainty",49,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4528.98623337935
"50",2,4.57988349675962,1.82402148532012,13,0,0,"Uncertainty",50,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4579.88349675962
"51",3,5.083638144245,1.50232997804627,13,0,0,"Uncertainty",51,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5083.638144245
"52",4,5.19024431726765,1.06813905849118,13,0,0,"Uncertainty",52,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5190.24431726765
"53",1,4.68531437583934,2.23925171381006,14,0,0,"Uncertainty",53,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4685.31437583934
"54",2,4.71461599762863,2.00314941858259,14,0,0,"Uncertainty",54,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4714.61599762863
"55",3,5.19350237850522,1.69218772676861,14,0,0,"Uncertainty",55,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5193.50237850522
"56",4,5.2516911961807,1.20060938302829,14,0,0,"Uncertainty",56,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5251.6911961807
"57",1,4.83492356461074,2.37537492857962,15,0,0,"Uncertainty",57,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4834.92356461074
"58",2,4.84180843270074,2.13390065442176,15,0,0,"Uncertainty",58,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4841.80843270074
"59",3,5.28605024015028,1.81832032486204,15,0,0,"Uncertainty",59,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5286.05024015028
"60",4,5.29978337244397,1.29508736895245,15,0,0,"Uncertainty",60,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5299.78337244397
"61",1,4.96502753240132,2.48938947140475,16,0,0,"Uncertainty",61,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4965.02753240132
"62",2,4.97047627234475,2.26208368636981,16,0,0,"Uncertainty",62,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4970.47627234475
"63",3,5.3892833723306,1.9508867647315,16,0,0,"Uncertainty",63,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5389.2833723306
"64",4,5.35611201174832,1.39117959138585,16,0,0,"Uncertainty",64,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5356.11201174832
"65",1,5.10222994989221,2.59552475121601,17,0,0,"Uncertainty",65,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5102.22994989221
"66",2,5.10218185764742,2.39063750807928,17,0,0,"Uncertainty",66,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5102.18185764742
"67",3,5.49735266122971,2.06174978419338,17,0,0,"Uncertainty",67,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5497.35266122971
"68",4,5.40870528268791,1.47142163531225,17,0,0,"Uncertainty",68,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5408.70528268791
"69",1,5.25883740831611,2.70973135999363,18,0,0,"Uncertainty",69,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5258.83740831611
"70",2,5.22103750062211,2.47879557653278,18,0,0,"Uncertainty",70,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5221.03750062211
"71",3,5.597512606512,2.15829581864864,18,0,0,"Uncertainty",71,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5597.512606512
"72",4,5.45655510332442,1.54094478518822,18,0,0,"Uncertainty",72,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5456.55510332442
"73",1,5.40716994160302,2.80482152717074,19,0,0,"Uncertainty",73,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5407.16994160302
"74",2,5.3394694275412,2.55231298910505,19,0,0,"Uncertainty",74,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5339.4694275412
"75",3,5.69989677056471,2.25875224405059,19,0,0,"Uncertainty",75,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5699.89677056471
"76",4,5.51506795609384,1.62674456646517,19,0,0,"Uncertainty",76,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5515.06795609384
"77",1,5.54636382350124,2.87747319024878,20,0,0,"Uncertainty",77,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5546.36382350124
"78",2,5.48538729485278,2.66252277280513,20,0,0,"Uncertainty",78,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5485.38729485278
"79",3,5.79139432031424,2.32223722657379,20,0,0,"Uncertainty",79,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5791.39432031424
"80",4,5.55747870550048,1.67730655294531,20,0,0,"Uncertainty",80,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5557.47870550048
